# Canterbury tales	## 0 = Geoffrey Chaucer
gow/05/158-gow.cat	Tale of Hercules and Faunus
gow/05/159-gow.cat	Sacrilege
gow/05/160-gow.cat	Sacrilege of Lovers
gow/05/161-gow.cat	Tale of Paris and Helen
gow/05/162-gow.cat	Sacrilege of Lovers; Divisions of Avarice
gow/05/163-gow.cat	Prodigality and Largesse
gow/05/164-gow.cat	Prodigality of Lovers
gow/06/*-gow.cat	Confessio Amantis - Book VI
gow/06/165-gow.cat	Gluttony; Drunkenness;
gow/06/166-gow.cat	Love-Drunkenness
gow/06/167-gow.cat	Jupiter's Two Tuns
gow/06/168-gow.cat	Prayer; Bacchus in the Desert
gow/06/169-gow.cat	Love Drunkenness; Tristram
gow/06/170-gow.cat	Marriage of Pirithous
gow/06/171-gow.cat	Galbus and Vitellius
gow/06/172-gow.cat	Delicacy;
gow/06/173-gow.cat	Love-Delicacy; Delicacy
gow/06/174-gow.cat	Dives and Lazarus
gow/06/175-gow.cat	Delicacy of Nero
gow/06/176-gow.cat	Love-Delicacy
gow/06/177-gow.cat	Sorcery and Witchcraft
gow/06/178-gow.cat	Tale of Ulysses and Telegonus
gow/06/179-gow.cat	Tale of Nectanabus
gow/06/180-gow.cat	Zoroaster; Saul and the Witch; Magic to be Eschewed
gow/07/*-gow.cat	Confessio Amantis - Book VII
gow/07/181-gow.cat	The Education of Alexander; Three Parts of Philosophy
gow/07/182-gow.cat	Theoric; Theology
gow/07/183-gow.cat	Physics
gow/07/184-gow.cat	Mathematics
gow/07/185-gow.cat	Creation of the Four Elements
gow/07/186-gow.cat	The Four Complexions of Man
gow/07/187-gow.cat	The Soul of Man
gow/07/188-gow.cat	The Division of the Earth
gow/07/189-gow.cat	Astronmy
gow/07/190-gow.cat	Planets and Signs
gow/07/191-gow.cat	The Planets
gow/07/192-gow.cat	The Signs
gow/07/193-gow.cat	The Fifteen Stars
gow/07/194-gow.cat	Authors of the Science of Astronomy
gow/07/195-gow.cat	Rhetoric
gow/07/196-gow.cat	Practic; Five Points of Policy
gow/07/197-gow.cat	The First Poiont of Policy; Truth
gow/07/198-gow.cat	King- Wine- Woman- and Truth
gow/07/199-gow.cat	Tale of Alcestis
gow/07/200-gow.cat	King- Wine- Woman- and Truth
gow/07/201-gow.cat	The Second Point of Policy; Liberality
gow/07/202-gow.cat	Tale of Julius and the Poor Knight
gow/07/203-gow.cat	Antigonus and Cinichus; Discretion in Giving
gow/07/204-gow.cat	Prodigality of Kings; Flatterers
gow/07/205-gow.cat	Tale of Diogenes and Aristippus
gow/07/206-gow.cat	Flattery
gow/07/207-gow.cat	The Roman Triumph
gow/07/208-gow.cat	The Emperor and his Masons
gow/07/209-gow.cat	Caesar's Answer
gow/07/210-gow.cat	Flatterers of a King
gow/07/211-gow.cat	Ahab and Micaiah
gow/07/212-gow.cat	Justice
gow/07/213-gow.cat	Justice of Maximin
gow/07/214-gow.cat	Gaius Fabricius
gow/07/215-gow.cat	The Emperor Conrad
gow/07/216-gow.cat	The Consul Carmidotirus
gow/07/217-gow.cat	Example of Cambyses
gow/07/218-gow.cat	Lycurgus and his Laws
